entry_id,short_title,main_author,direct_link,retrievable,link,download_provider,download_timestamp
1,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11280551/manifest,True,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11280551/manifest,MDZ,2026-04-24T11:32:16.905033+00:00
2,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11280556/manifest,True,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11280556/manifest,MDZ,2026-04-24T11:32:23.154132+00:00
