entry_id,short_title,main_author,direct_link,retrievable,link,download_provider,download_timestamp
P01,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11280551/manifest,True,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11280551/manifest,MDZ,2026-04-24T11:35:10.101707+00:00
P02,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11280556/manifest,True,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11280556/manifest,MDZ,2026-04-24T11:35:10.698208+00:00
